gene	S1.ALL	S2.ALL	S3.ALL	S4.ALL	S5.ALL	S6.ALL	S7.ALL	S8.ALL	S9.ALL	S10.ALL	S11.ALL	S12.ALL	S13.ALL	S14.ALL	S15.ALL	S16.ALL	S17.ALL	S18.ALL	S19.ALL	S20.ALL	S21.ALL	S22.ALL	S23.ALL	S24.ALL	S25.ALL	S26.ALL	S27.ALL	S28.AML	S29.AML	S30.AML	S31.AML	S32.AML	S33.AML	S34.AML	S35.AML	S36.AML	S37.AML	S38.AML
KHDRBS1	10.9571020415623	11.0613711926598	10.7992816215219	10.8313072438021	11.1045987535644	10.7262181593322	10.410451351504	10.7108064336994	11.4640351521899	10.9425145053392	11.5333297323058	9.53915881110803	11.0728025345442	11.2986354067342	11.3066313617125	10.7681843247769	11.7772553151919	10.5087851620645	10.6266216523584	12.2360141919001	11.0347989625773	10.5689061545021	10.8517490414161	11.3303567169579	10.2070143201775	10.5821419816588	9.98013957763916	10.7515440590891	9.97871045910636	10.1535520317081	10.5651020783603	10.2179576978641	10.6821167649501	10.72366094441	10.5018371849023	10.7108064336994	11.0667619323869	10.4948555844912
AP2M1	9.94251450533924	10.7389366816761	10.5545888516776	9.7515440590891	10.958552715431	9.52943055414615	10.0306671362469	9.23122118071119	11.6786001390995	10.0606959316876	9.36632221424582	8.83289001416474	10.5028318040667	10.3695973462787	10.5631962722167	10.270295326472	10.7047682393626	8.93663793900257	9.73301532168596	11.9668659003875	10.9490971557292	7.09803208296053	9.2045711442492	10.2143191208008	9.40514146313634	10.18982455888	0	9.90538700501813	9.24079133216196	10.567005370247	10.5774288280357	10.1484765821783	9.86263735755879	10.1357092861044	10.8595347863827	10.7193888209421	10.0741414627525	9.30606168942834
GRK4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4594316186373	0	0	0	0	0	0	0	0	0	4.85798099512757	0	0	0	0	0	0	0	0	0	0	0	0	0
HYAL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32192809488736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.83289001416474	0	0	0
SFTPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF10	9.32192809488736	10.1357092861044	9.58120058192496	9.27146302790437	10.0620461377205	9.51963625284321	9.13955135239879	7.54689445988764	10.0660891904578	10.240791332162	9.50382573799575	8.55842071326866	8.89481776330794	9.88264304936184	10.1736771363034	10.1799090900149	9.7262181593322	9.84862294042934	9.55458885167764	11.582612451267	8.13955135239879	8.23840473932508	8.70043971814109	10.3264294871223	9.4858293087019	10.1636496760158	0	8.96866679319521	6.82017896241519	10.1661630826461	10.0927571409199	9.35974956032233	9.08746284125034	9.71596199025514	11.353698209048	9.50581155391959	9.38154295118458	7.69348695749933
ARL1	7.99435343685886	7.19967234483636	7.91886323727459	8.04984854945056	7.90086680798075	6.24792751344359	7.83289001416474	8.12928301694497	7.4262647547021	5.78135971352466	7.4594316186373	0	7.40087943628218	8.05528243550119	8.18982455888002	6.64385618977472	8.23840473932508	7.43462822763672	6.70043971814109	7.84549005094437	7.3037807481771	7.19967234483636	5	7.32192809488736	7.3037807481771	7.14974711950468	7.64385618977472	6.65821148275179	6.78135971352466	7.64385618977472	7.64385618977472	8.08746284125034	7.59991284218713	6.62935662007961	6.22881869049588	7.06608919045777	8	7.08746284125034
PSMD4	8.85486838326024	9.1548181090521	9.36413465500805	8.55842071326866	9.54689445988764	9.07681559705083	7.84549005094437	7.70735913208088	9.90538700501813	9.25502856981873	8.79441586635011	7.78790255939143	9.09011241966429	9.14720492494223	9.33762190199251	8.90989308377004	8.58871463558226	8.58496250072116	5.39231742277876	10.0927571409199	6.44294349584873	5.70043971814109	8.4797802640291	9.27146302790437	7.68650052718322	8.66177809777199	0	0	7.13955135239879	6.85798099512757	8.86418614465428	7.4594316186373	8.67595703294175	8.73809225962049	6.52356195605701	8.69348695749933	6.04439411935845	0
PCBP1	11.6050164479114	11.5454471816781	11.3928540398729	11.2306209331299	12.047123912114	11.1098306542788	11.6741922681457	10.6375305515253	12.2911706993219	11.0202855008446	11.713386514937	8.95710204156229	11.6202198255075	11.9318455401837	11.8792003179474	10.9417812422785	12.9153192176791	11.2312211807112	11.0613711926598	12.5164387346079	11.6452080827747	10.1749256825007	10.9808536063797	12.3998119593257	10.4398308839814	11.3564519702218	10.237209960755	11.4777582664439	11.0119260663068	12.0694497674278	11.6077926419192	11.3928540398729	11.4838157772643	10.8603110549195	12.0681064758588	10.9578275608337	10.8826430493618	11.9639797878153
EDA	0	8.55458885167764	7.10852445677817	8.69696752623429	0	7.32192809488736	9.00842862207058	8.19475685442225	8.45121111183233	7.76818432477693	8.03342300153745	6.8073549220576	5.4594316186373	7.76818432477693	0	4.52356195605701	8.34429590791582	7.36632221424582	7.7279204545632	8.07681559705083	0	7.3037807481771	7.18982455888002	0	8.47167521439204	7.40087943628218	8.82336724004623	8.32192809488736	8.16992500144231	0	8.08214904135387	8.07681559705083	9.00562454919388	7.3037807481771	7	7.8008998999203	8.76818432477693	8.55074678538324
GALNT1	6.18982455888002	7.37503943134692	0	7.02236781302845	7.43462822763672	0	5.90689059560852	8.0389189892923	0	0	6.95419631038687	7.05528243550119	7.74146698640115	7.18982455888002	8.13955135239879	7.83920378809694	9.38586240064146	7.69348695749933	8.04984854945056	8.56985560833095	6.98868468677217	7.39231742277876	0	7.23840473932508	6.28540221886225	6.37503943134692	4.32192809488736	7.44294349584873	7.04439411935845	0	6.22881869049588	8.08214904135387	7.48381577726426	7.90086680798075	4.70043971814109	4.58496250072116	9.09011241966429	8.19475685442225
ERBB4	4.58496250072116	6.02236781302845	6.74146698640115	0	5.6724253419715	1.58496250072116	0	0	0	4.90689059560852	2	0	1	5.12928301694497	3.32192809488736	4.95419631038687	7.4594316186373	5.32192809488736	0	0	0	6.3037807481771	0	0	3.8073549220576	5.70043971814109	7.04439411935845	5.28540221886225	5.83289001416474	0	4.39231742277876	0	4	0	0	2.8073549220576	0	0
POU3F2	0	0	0	0	0	0	0	0	0	8.27146302790437	0	0	0	0	0	0	0	7.5077946401987	0	0	0	0	0	0	8.97154355395077	0	8.2807707701306	0	0	0	0	6.53915881110803	0	0	7.35755200461808	0	0	0
ST6GAL1	6.04439411935845	0	0	0	7.54689445988764	0	0	0	0	0	0	4.08746284125034	0	7.6724253419715	0	0	0	4.8073549220576	2.32192809488736	0	0	6.76818432477693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF2	8.3264294871223	5.88264304936184	8.33091687811462	8.58871463558226	7.61470984411521	8.14974711950468	7.76818432477693	8.10328780841202	8.48381577726426	7.83289001416474	8.74819284958946	5.7279204545632	4.39231742277876	6.4093909361377	8.35314682549808	0	9.74986942739684	2.32192809488736	6.88264304936184	8.02236781302845	6.59991284218713	7.83289001416474	6.3037807481771	8.2667865406949	8.08214904135387	0	9.20701432017753	8.29920801838728	5.78135971352466	0	8.04439411935845	9.02513956227851	8.02236781302845	6.61470984411521	8.14974711950468	7.51569983828404	7.94251450533924	8.51175265376738
SLC4A1	7.3037807481771	0	6.61470984411521	7.77478705960117	6.53915881110803	0	8.5352753766208	10.4696418172395	0	5.39231742277876	6.3037807481771	6.89481776330794	7.57742882803575	7.82017896241519	5.8073549220576	0	6.08746284125034	6.49185309632967	12.1452953349336	10.9336906549522	6.82017896241519	8.7515440590891	5.78135971352466	0	11.1761731491075	8.31741261376487	0	5.78135971352466	10.9038818457362	7.57742882803575	13.3251648894891	13.3090499625151	10.1382718001722	12.3387363825739	10.1318569606088	0	9.10590850857116	11.9571020415623
KCNA6	8.06608919045777	8.04439411935845	9.19229281447077	7.84549005094437	7.4594316186373	7.36632221424582	8.467605550083	8.26209484537018	8.13442632022093	7.58496250072116	7.74819284958946	6.53915881110803	7.05528243550119	7.62935662007961	7.11894107272351	7.83289001416474	8.65463602852797	8.43462822763673	7.16992500144231	7.91886323727459	6	8	6.84549005094437	8.31288295528435	7.8008998999203	7.89481776330794	8.93957921431469	7.88264304936184	8.28540221886225	8.24792751344359	7.64385618977472	8.58120058192496	8.65463602852797	6.61470984411521	8.32192809488736	8.25738784269265	8.35755200461808	9.17990909001493
FOLR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAI2	10.8145824659063	10.5137275959524	9.07681559705083	9.41574176829009	10.4304525516655	9.44086916761087	8.76487159073609	7.89481776330794	10.3837042924741	9.37937836707126	8.82017896241519	9.99859042974533	10.2761244052742	9.76983784362944	10.5641494899857	10.3476213685681	10.5507467853832	9.8703647195834	9.28771237954945	11.0091287895393	7.62205181945638	9.40087943628218	8.76818432477693	9.21431912080077	10.0914353863236	9.37503943134693	0	10.0042204663182	7.82017896241519	12.0478055540076	10.7838167593202	6.06608919045777	10.3998119593257	10.9395792143147	11.6133290543711	11.2070143201775	11.6702136367386	10.4898479604393
GATA3	0	8.6582114827518	8.02236781302845	0	0	6.68650052718322	0	8.48381577726426	7.74146698640115	8.98868468677217	7.04439411935845	4.75488750216347	0	10.007027266894	0	0	0	5.4262647547021	0	10.2395985292491	0	0	8.37503943134693	0	7.4262647547021	2.8073549220576	0	0	0	0	0	0	0	0	0	0	0	0
CDH15	10.2585660338899	9.65105169117893	9.92332748541919	10.3542493819452	9.2667865406949	9.49785183695112	10.211888294546	9.93516504960369	10.4460494067166	8.43462822763673	9.8376279331714	9.12153351734003	9.85798099512757	9.68650052718322	9.3264294871223	9.64745842645492	9.02513956227851	9.89330153086056	9.26912667914942	10.4625022725973	9.283088353024	9.92629599478111	10.1535520317081	10.1176431013891	9.90989308377004	9.7632123668144	10.3542493819452	10.4387918525783	10.18982455888	9.37937836707126	9.67595703294175	10.813781191217	10.3847837500934	9.04165915163721	8.04984854945056	10.4051414631363	8.60362634498619	10.9143851321554
ENPEP	6.64385618977472	6.32192809488736	7.06608919045777	6.14974711950468	5.16992500144231	5.95419631038687	5.64385618977472	6.68650052718322	6.4757334309664	5.35755200461808	5	4.95419631038687	5.58496250072116	6.4757334309664	2.8073549220576	6.3037807481771	6.44294349584873	4.32192809488736	5.88264304936184	5.28540221886225	3.4594316186373	6.18982455888002	4.32192809488736	6.10852445677817	6.20945336562895	5.85798099512757	6.53915881110803	5.97727992349992	4.58496250072116	5.55458885167764	6.37503943134692	6.35755200461808	6.12928301694497	5.4262647547021	5.90689059560852	6.82017896241519	6.58496250072116	6.85798099512757
CDKN1A	8.97441458980553	8.53138146051631	5.61470984411521	9.4262647547021	9.85174904141606	8.12928301694497	9.41996017784789	7.18982455888002	8.82972273508606	8.87958324961278	8.21431912080077	9.36413465500805	10.4848228942621	7.54689445988764	9.97010589061218	5.7279204545632	7.70043971814109	8.91587937883577	8.6724253419715	5.85798099512757	8.11894107272351	9.98441845880114	0	9.8008998999203	9.81698362325538	9.56224242422107	4.8073549220576	6.28540221886225	7.98868468677217	10.800090987625	8.97154355395077	6.85798099512757	10.1686721181322	7.91288933622996	10.18982455888	0	9.58120058192496	10.6147098441152
P2RY6	0	4.8073549220576	5.04439411935845	6.85798099512757	0	7.34872815423108	3.90689059560852	5.20945336562895	6.85798099512757	6.24792751344359	3.8073549220576	0	0	7.66533591718518	6.28540221886225	5.75488750216347	7.83920378809694	4.08746284125034	0	3.70043971814109	6.74146698640115	6.85798099512757	7.29462074889163	5.08746284125034	5.97727992349992	5.28540221886225	7.48381577726426	7.13955135239879	6.93073733756289	0	0	0	0	0	5	0	5.24792751344359	4.64385618977472
EIF2S2	9.74146698640115	9.74146698640115	10.211888294546	10.2033480029798	10.5468944598876	9.24792751344359	9.66888498426625	9.56033283421244	10.4563544151083	10.007027266894	9.64565843240871	8.76155123244448	9.80574387215162	10.2324209271761	10.8025163651212	10.1959872980285	10.5166849493096	10.2045711442492	10.0967151544885	11.3928540398729	10.6978363579624	9.1006623390052	9.21431912080077	9.82495874052852	9.88722061546838	9.35314682549808	9.72962074355304	8.98868468677217	8.9915218460757	9.19475685442225	9.71424551766612	9.4757334309664	9.2045711442492	9.03342300153745	9.84392105128904	9.30149619498255	9.55074678538324	9.71938882094208
PPFIA1	5.4262647547021	0	7.28540221886225	3.58496250072116	4.95419631038687	0	0	5.4262647547021	3.16992500144231	0	5.55458885167764	0	4.52356195605701	4.70043971814109	5.90689059560852	5.6724253419715	2.32192809488736	3.90689059560852	0	5.78135971352466	4.24792751344359	0	1.58496250072116	0	0	5.7279204545632	0	5.78135971352466	5.78135971352466	4.52356195605701	6.08746284125034	4.85798099512757	4.90689059560852	4.4594316186373	0	0	5.75488750216347	3.58496250072116
HCG9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33985000288462	0	0	0	6.32192809488736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEUROD1	0	0	0	6.08746284125034	0	2.32192809488736	0	0	0	4.24792751344359	0	0	0	0	0	0	0	0	3.32192809488736	0	5.35755200461808	0	0	0	0	0	0	0	0	0	0	0	0	0	5.28540221886225	4.95419631038687	0	0
ZNF134	8.5077946401987	8.97154355395077	8.68650052718322	8.23840473932508	8.24792751344359	7.93663793900257	8.5274770060604	8.97441458980553	8.4093909361377	8.8703647195834	8.58871463558226	7.53915881110803	8.35755200461808	8.61470984411521	8.45121111183233	7.51569983828404	8.8703647195834	7.56985560833095	7.81378119121704	8.97154355395077	7.29462074889163	8.7515440590891	9.01122725542325	8.74146698640115	8.28540221886225	8.22881869049588	8.53915881110803	8.61838550225861	8.60362634498619	8.3037807481771	8.36194377373524	8.73809225962049	8.17492568250068	8.25738784269265	8.36632221424582	8.43462822763673	9.2667865406949	8.96578428466209
NEDD8	10.7673568541257	11.5220910688871	11.3498340914572	10.9469062744564	11.2167458581953	10.8703647195834	10.2761244052742	10.8634119589416	11.6829945836817	10.902375114486	10.8579809951276	10.3442959079158	11.5938579388582	10.5028318040667	10.9628960053373	10.7108064336994	11.6608872703026	10.2538474849874	10.0042204663182	12.0213270326244	10.6537407787066	9.62753388447279	10.3685064615077	10.6978363579624	10.4898479604393	10.5507467853832	9.49385544924082	10.9388444574662	10.4625022725973	10.9950604670327	10.4777582664439	10.1045987535644	10.6008421143873	10.3094763538411	10.7813597135247	11.0593444608244	10.5439984501345	10.0821490413539
MSH2	0	0	5.95419631038687	0	7.83289001416474	0	0	0	8.11374216604919	4.4594316186373	5.70043971814109	0	7.73470962022584	6.98868468677217	7.89481776330794	6.64385618977472	7.6724253419715	6.04439411935845	0	7.89481776330794	8.13955135239879	0	0	6.83289001416474	2	0	0	4.8073549220576	0	0	0	0	0	0	0	0	0	0
DUSP1	11.9610878899973	12.5557874020838	10.8572034715082	11.4640351521899	12.8480360416318	10.5097750043269	12.4637797853354	12.9329528921947	12.1557669384457	12.0254856568084	11.3134499409631	11.0781508077346	12.2957689344205	11.3575520046181	12.7897374010671	12.2758335100135	11.6608872703026	9.74651432113846	12.4252159032994	13.9734283155401	13.3759896892299	12.8759412884976	10.0154150523867	13.0277332497528	14.0598514107708	13.2842457498297	12.2644426002266	12.3037807481771	9.319672120947	12.8376279331714	13.0022876184011	11.930367747439	13.6837622371745	10.4737057496194	12.8189815394324	9.97584796800678	13.0031665066652	13.0425143861402
SERPINA1	7.3037807481771	10.2131042196419	8.40514146313634	8.46352437327118	8.98868468677217	9.68474862042163	6.12928301694497	8.89481776330794	9.43254190038826	8.25738784269265	6.35755200461808	7.04439411935845	7.10852445677817	9.49185309632967	8.11374216604919	7.49984588708321	8.45121111183233	7.13955135239879	7.62205181945638	6.79441586635011	5.93073733756289	7.11894107272351	6.22881869049588	8.40514146313634	6.59991284218713	8.11894107272351	9.10328780841202	9.33091687811462	7.93663793900257	12.2440664641948	10.9650627567446	8.4797802640291	6.62935662007961	9.45327063401062	10.929258408637	8.09803208296053	10.2585660338899	9.05528243550119
ADRB2	6.4262647547021	0	7.70043971814109	0	4.70043971814109	0	3.4594316186373	0	6.8073549220576	5.75488750216347	5.7279204545632	0	6.5077946401987	7.15987133677839	6.18982455888002	6.37503943134692	7.38370429247405	0	0	2.58496250072116	5.97727992349992	5.85798099512757	6.82017896241519	8.01122725542325	5.90689059560852	6.4262647547021	0	6.06608919045777	5.4262647547021	8.3264294871223	5.58496250072116	7.85798099512757	5.20945336562895	3.4594316186373	0	7.06608919045777	5.7279204545632	7.48381577726426
RSC1A1	8.24792751344359	6.98868468677217	8.71424551766612	8.49984588708321	7.74146698640115	7.74819284958946	8.55458885167764	8.04984854945056	8.51569983828404	7.70043971814109	7.81378119121704	6.4262647547021	7.20945336562895	8.04439411935845	7.62935662007961	7.467605550083	8.5077946401987	7.18982455888002	6.56985560833095	8.03342300153745	7.66533591718518	8.27146302790437	8.53138146051631	8.01680828768655	8.66888498426625	7.5077946401987	8.73809225962049	7.93663793900257	6.16992500144231	8.4757334309664	8.29001884693262	8.3264294871223	8.16490692667569	7.09803208296053	8.43462822763673	7.04439411935845	8.40514146313634	8.79441586635011
RGS19	11.2526654324502	9.59058704991503	9.78135971352466	11.1130909834424	10.8734441125154	9.2336196767597	10.5717526435035	9.52356195605701	10.2045711442492	9.00842862207058	8.78135971352466	9.41151098801207	10.5745935273376	9.85953478638265	11.3890935219045	10.7202442582876	11.6523968614777	8.83920378809694	9.11374216604919	11.319672120947	9.30833903013941	7.6724253419715	9.44914864537544	10.7598881832218	9.70217268536555	10.4146852358072	10.5971214287896	9.86573327085176	9.71252700043982	10.4512111118323	3	8.60733031374961	9.53138146051631	8.76487159073609	10.2057932493972	10.0209799389042	10.7073591320809	9.79766152585376
CELSR2	7.86418614465428	8.4797802640291	8.19475685442225	8.50382573799575	7.32192809488736	6.33985000288462	9.403012023575	9.58683978796183	8.86418614465428	7.27612440527424	7.84549005094437	7.70043971814109	7.62205181945638	8.01680828768655	7.56224242422107	5	7.37503943134692	7.59245703726808	7.8703647195834	8.1548181090521	8.76155123244448	8.36632221424582	7.94251450533924	8.69348695749933	8.13442632022093	6.91886323727459	8.04439411935845	8.13955135239879	9.3151495622563	8.29920801838728	7.69348695749933	8.13442632022093	6.59991284218713	4.75488750216347	8.56224242422107	7.91288933622996	7.20945336562895	7.5077946401987
KRTAP5-9	5.93073733756289	3.70043971814109	8.15987133677839	7.68650052718322	0	6.28540221886225	7.21916852046216	0	0	7.96578428466209	5.52356195605701	0	7.61470984411521	0	0	7	7.72109918870718	7.64385618977472	4.95419631038687	0	0	0	5.20945336562895	0	5.75488750216347	7.77478705960117	9.99435343685886	0	0	0	0	0	7.52356195605701	0	0	0	5.97727992349992	6.39231742277876
SLC25A6	13.2319711391628	12.326710358347	13.2164427391605	13.723020931812	13.8058446154945	13.1785092456522	13.4002123557502	12.721740054213	14.0739741646668	13.0510389621174	13.4964793269709	13.8899792063716	13.1029598859101	13.4236411950759	13.7570774332543	13.2897307400838	13.3388756321316	13.3250243101914	13.2035009523614	14.2081581361741	13.0334230015375	13.3430468813005	13.0733047782537	13.5847276679639	13.1376315982354	13.4394413348928	13.1001695311299	13.5524289485265	13.0806510019498	13.1616043040028	13.5523088590403	12.5557874020838	13.3623548174839	13.226713224619	13.7048762861734	13.4976023867835	13.1858046151085	12.9916989834129
TPD52	6.85798099512757	8.21916852046216	7.70043971814109	5.08746284125034	6.4093909361377	5.7279204545632	6.74146698640115	7.67948009950545	7.09803208296053	5.4262647547021	6.33985000288462	0	6.56985560833095	6.4262647547021	6.37503943134692	6.4594316186373	7.4262647547021	7.06608919045777	6.88264304936184	7.04439411935845	5.35755200461808	7.25738784269265	6.75488750216347	7.15987133677839	7.19967234483636	7.25738784269265	7.91886323727459	7.16992500144231	6.68650052718322	6.32192809488736	6.64385618977472	7.62205181945638	7.01122725542325	6.20945336562895	7.02236781302845	4.90689059560852	6.10852445677817	7.8008998999203
HLA-DMB	11.6781599575428	10.0334230015375	9.63117705570398	10.4210128557792	10.57931593758	9.15228484230658	9.67771964164101	10.5087851620645	9.67065624911844	9.17990909001493	8.90388184573618	9.49984588708321	11.8141818841903	9.35755200461808	11.2100624832402	10.2215871212648	0	12.0227145730448	10.9166259222112	12.199058823653	9.70390357344466	10.3162815317462	9.12928301694497	10.3652288492515	10.3140167039014	10.5107641679179	9.99435343685886	9.75488750216347	10.5574637015978	10.237209960755	9.39231742277876	9.30606168942834	10.2667865406949	9.17741953798924	10.429406741514	10.4817994316658	10.7125270004398	10.3342732853072
CGREF1	6.4757334309664	7.74146698640115	5.85798099512757	7.23840473932508	9.45327063401062	6.90689059560852	7.92481250360578	1	9.79928162152192	5.8073549220576	9.5077946401987	6.90689059560852	6.91886323727459	7.09803208296053	7.14974711950468	6.02236781302845	0	6.37503943134692	7.83289001416474	9.14210705730255	9.06069593168755	6.93073733756289	6.5077946401987	6.16992500144231	8.65463602852797	6.2667865406949	5	0	9.56033283421244	5.95419631038687	8.96289600533726	8.79441586635011	7.59245703726808	9.10590850857116	7.13955135239879	6.6724253419715	6.94251450533924	8.77807712953536
UCP1	4.58496250072116	6.28540221886225	0	0	4.39231742277876	4.08746284125034	5.7279204545632	0	1.58496250072116	0	0	5.20945336562895	0	6.8073549220576	0	0	0	4.4594316186373	6.74146698640115	3.58496250072116	0	0	4.58496250072116	0	3.32192809488736	0	0	4.16992500144231	0	5	5.88264304936184	3.8073549220576	6.56985560833095	0	5.52356195605701	6	0	7.24792751344359
MYL3	0	0	0	0	5.88264304936184	0	0	0	8.4757334309664	0	0	0	0	0	0	5.39231742277876	0	2	0	0	7.97727992349992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB	13.9727106014324	12.8061468033205	14.3770749323772	13.4794013552834	13.3265699295698	14.3612584404646	13.0127991041797	13.4712941706673	14.4036778111363	14.4347585229668	14.2688343693438	12.5184072766714	14.0808175276083	12.8963324039099	13.868822554775	12.7561392983729	14.2758335100135	13.8878869653391	12.6871569441389	13.7077904955288	12.436451292287	12.8929222236306	14.1506199653058	13.3440184398813	12.894059846274	12.642728643769	12.7058483435089	12.0583300262057	12.2851131885015	14.0968798363038	13.6723148372002	13.3380399331079	13.9645213738972	13.3467907217507	12.94781954602	13.4785168476765	12.9908130791536	13.4512111118323
ESD	11.0694497674278	10.868822554775	11.6591039634737	11.0980320829605	11.0848083878044	10.6662240028032	11.2342186782385	10.1699250014423	11.8902642770211	10.5574637015978	11.6022349013411	9.69522829149575	10.7406240444894	10.8657332708518	11.1433832139898	10.5176693881338	11.6087168540206	9.81538329581354	9.76487159073609	11.800090987625	10.2467405984931	9.78299820892041	10.468624042918	11.5593770905267	10.6952282914958	10.403012023575	9.93073733756289	10.6733090755617	10.3608470841797	9.9614496943982	10.380461065089	10.3398500028846	10.7548875021635	9.84549005094438	10.3230547603416	10.1598713367784	10.5717526435035	10.7887183326905
